rsi_p,fast_p,slow_p,k_p,d_p,avg_sharpe,avg_return,avg_calmar,avg_maxdd,avg_win_rate,avg_trades,n_stocks
14,25,35,22,44,0.7647270355698512,6.226748035748968,0.4522565173882634,-0.35292148183374916,0.637614502050123,41.55555555555556,9
14,25,40,8,20,0.5015148407473204,3.8901629404929077,0.23948224089823938,-0.4373087110783367,0.5551613670797909,59.888888888888886,9
14,25,40,8,28,0.5692184058989204,3.5272663760769953,0.26685180463949876,-0.4187646883566346,0.6179070646592046,53.77777777777778,9
14,25,40,8,36,0.6756218698891332,4.389823648945454,0.3383786252708421,-0.3950075955528749,0.610721466884665,49.111111111111114,9
14,25,40,8,44,0.7358567035726884,4.874525372009135,0.4197715669245032,-0.3764618455766188,0.6260881644888393,45.77777777777778,9
14,25,40,10,20,0.513660653210165,3.692938141178861,0.238834993851043,-0.4391807339941007,0.5729807273056834,58.0,9
14,25,40,10,28,0.6382107226293496,4.1055253003540315,0.31491096398778456,-0.402811891990882,0.6133649517526432,52.55555555555556,9
14,25,40,10,36,0.6934718958801566,5.563771971618089,0.35929185193618474,-0.38780174367985976,0.6140356512079124,48.0,9
14,25,40,10,44,0.7159040346326238,5.142226883485208,0.3910390774769741,-0.3893186795911865,0.6142277332199811,44.55555555555556,9
14,25,40,14,20,0.6133946893130555,3.5490692560084294,0.2924956317207347,-0.4184012116279628,0.6104849441819198,55.111111111111114,9
14,25,40,14,28,0.7158470374558584,4.83578484005883,0.41121651802058745,-0.3678153540493556,0.6268174784472372,50.888888888888886,9
14,25,40,14,36,0.7347482752855783,5.3017950539200465,0.4328304130855471,-0.3653664974247395,0.6412336915442505,46.111111111111114,9
14,25,40,14,44,0.7243699906540343,4.615923604732013,0.38550299543530836,-0.3927081758777662,0.6309768388841446,42.77777777777778,9
14,25,40,18,20,0.6842470427009295,4.4423289688049215,0.34352577980683946,-0.3970403656658052,0.6169721346191934,52.0,9
14,25,40,18,28,0.7357080118557253,5.390036709436634,0.4461692274775521,-0.34513957135653356,0.639817199878204,47.888888888888886,9
14,25,40,18,36,0.7081395762132671,4.703100187884736,0.384501989082141,-0.38586516036873164,0.6406395703855706,43.888888888888886,9
14,25,40,18,44,0.7545016596610751,6.5515335029962465,0.44758310065269746,-0.35091706193543243,0.6600092705378253,40.77777777777778,9
14,25,40,22,20,0.7258949526942478,5.464003668301171,0.43155019656129434,-0.3441744184690732,0.6402354322343595,48.888888888888886,9
